series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
zeekrx,极氪,ZEEKR X,,新能源,,新能源,,internal_90d,0.88
zrv致在,本田,ZR-V 致在,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
一汽nh2,一汽,一汽NH2,,燃油车,,燃油,,internal_90d,0.88
一汽丰田bz4x,丰田,一汽丰田bZ4X,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
万象t01,万象汽车,万象T01,,新能源,,新能源,,internal_90d,0.88
三菱l200,三菱,三菱L200,,燃油车,,燃油,,internal_90d,0.88
三菱戈蓝,三菱,三菱戈蓝,,燃油车,,燃油,,internal_90d,0.88
上喆v级,上喆,上喆V级,,燃油车,,燃油,,internal_90d,0.88
上汽大通maxusd60,上汽大通MAXUS,上汽大通MAXUS D60,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusd90,上汽大通MAXUS,上汽大通MAXUS D90,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusd90pro,上汽大通MAXUS,上汽大通MAXUS D90 Pro,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusev30,上汽大通MAXUS,上汽大通MAXUS EV30,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
上汽大通maxusg10,上汽大通MAXUS,上汽大通MAXUS G10,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusg20,上汽大通MAXUS,上汽大通MAXUS G20,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusg50,上汽大通MAXUS,上汽大通MAXUS G50,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusg90,上汽大通MAXUS,上汽大通MAXUS G90,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusv80,上汽大通MAXUS,上汽大通MAXUS V80,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusv80房车,上汽大通MAXUS,上汽大通MAXUS V80房车,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxusv90,上汽大通MAXUS,上汽大通MAXUS V90,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽大通maxus新途v80,上汽大通MAXUS,上汽大通MAXUS 新途V80,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
上汽牛魔王,大通,上汽牛•魔王,,燃油车,,燃油,,internal_90d,0.88
与众06,大众,与众06,,新能源,,新能源,,internal_90d,0.88
与众07,大众,与众07,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
与众08,大众,与众08,,,,,,unknown,0.0
世嘉,雪铁龙,世嘉,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
世极,世极,世极,,燃油车,,燃油,,internal_90d,0.88
世纪,别克,世纪,,燃油车,,燃油,,internal_90d,0.88
世纪星,红旗,世纪星,,燃油车,,燃油,,internal_90d,0.88
世锐phev,广汽集团,世锐PHEV,,新能源,,新能源,,internal_90d,0.88
丘比特,海马,丘比特,,燃油车,,燃油,,internal_90d,0.88
东南a5翼舞,东南,东南A5翼舞,,燃油车,,燃油,,internal_90d,0.88
东南dx3,东南,东南DX3,,燃油车,,燃油,,internal_90d,0.88
东南dx3ev,东南,东南DX3 EV,,新能源,,新能源,,internal_90d,0.88
东南dx5,东南,东南DX5,,燃油车,,燃油,,internal_90d,0.88
东南dx7,东南,东南DX7,,燃油车,,燃油,,internal_90d,0.88
东南dx8,东南,东南DX8,,燃油车,,燃油,,internal_90d,0.88
东南dx8s,东南,东南DX8S,,燃油车,,燃油,,internal_90d,0.88
东方之子,奇瑞,东方之子,,燃油车,,燃油,,internal_90d,0.88
东风a9,东风风神,东风A9,,燃油车,,燃油,,internal_90d,0.88
东风小康c31,东风小康,东风小康C31,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c35,东风小康,东风小康C35,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c36,东风小康,东风小康C36,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c36ⅱ,东风小康,东风小康C36Ⅱ,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c37,东风小康,东风小康C37,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c51,东风小康,东风小康C51,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c52,东风小康,东风小康C52,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c56,东风小康,东风小康C56,,燃油车,微面,燃油,,internal_90d,0.88
东风小康c71,东风小康,东风小康C71,,燃油车,微面,燃油,,internal_90d,0.88
东风小康d52,东风小康,东风小康D52,,燃油车,微面,燃油,,internal_90d,0.88
东风小康d71,东风小康,东风小康D71,,燃油车,微面,燃油,,internal_90d,0.88
东风小康ec36,东风小康,东风小康EC36,,新能源,微面,新能源,,internal_90d,0.88
东风小康ec36ⅱ,东风小康,东风小康EC36Ⅱ,,新能源,微面,新能源,,internal_90d,0.88
东风小康k01,东风小康,东风小康K01,,燃油车,微面,燃油,,internal_90d,0.88
东风小康k05s,东风小康,东风小康K05S,,燃油车,微面,燃油,,internal_90d,0.88
东风小康k07,东风小康,东风小康K07,轿车,燃油车,微面,燃油,,heuristic_body+internal_90d,0.88
