series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
icarv23,iCAR,iCAR V23,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
icarv27,iCAR,iCAR V27,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
icar超级v23,iCAR,iCAR超级V23,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
id4crozz,大众,ID.4 CROZZ,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
id4x,大众,ID.4 X,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
id6crozz,大众,ID.6 CROZZ,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
id6x,大众,ID.6 X,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
id7vizzion,大众,ID.7 VIZZION,轿车,新能源,轿车,新能源,,dcd_ranking+internal_90d,0.96
idera9x,大众,ID. ERA 9X,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
ilounge朗智,广汽传祺,i-lounge朗智,,燃油车,,燃油,,internal_90d,0.88
impreza翼豹,斯巴鲁,IMPREZA翼豹,,燃油车,,燃油,,internal_90d,0.88
imsas级,英飒,IMSA S级,,燃油车,,燃油,,internal_90d,0.88
insight,本田,INSIGHT,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
ioniq5n艾尼氪5n,现代,IONIQ 5 N(艾尼氪5N),SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
ioniq5艾尼氪5,现代,IONIQ 5(艾尼氪 5),,燃油车,,燃油,,internal_90d,0.88
iq傲歌,凯迪拉克,IQ傲歌,,新能源,,新能源,,internal_90d,0.88
iq锐歌,凯迪拉克,IQ锐歌,,新能源,,新能源,,internal_90d,0.88
kite,现代,KITE,,燃油车,,燃油,,internal_90d,0.88
kxcross,起亚,KX CROSS,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
l7h,北京汽车制造厂,L7H,,新能源,,新能源,,internal_90d,0.88
legacy力狮,斯巴鲁,LEGACY力狮,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
leon,西雅特,LEON,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
levante,玛莎拉蒂,Levante,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
levctx,吉利银河,LEVC TX,,新能源,,新能源,,internal_90d,0.88
lionpeugeottypeva,Lion-Peugeot,Lion-Peugeot Type VA,,燃油车,,燃油,,internal_90d,0.88
lite,北汽新能源,LITE,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
lorinserls系列,Lorinser,Lorinser LS系列,,燃油车,,燃油,,internal_90d,0.88
lorinserlw系列,Lorinser,Lorinser LW系列,,燃油车,,燃油,,internal_90d,0.88
lorinservs系列,Lorinser,Lorinser VS系列,,燃油车,,燃油,,internal_90d,0.88
lummaclrx7,LUMMA,LUMMA CLR X7,,燃油车,,燃油,,internal_90d,0.88
macan,保时捷,Macan,,燃油车,,燃油,,internal_90d,0.88
macanev,保时捷,Macan EV,,新能源,,新能源,,internal_90d,0.88
masterceo,纳智捷,MASTER CEO,,燃油车,,燃油,,internal_90d,0.88
mattu,猎豹汽车,Mattu,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
metris,奔驰,Metris,,燃油车,,燃油,,internal_90d,0.88
metrisms500,Lorinser,Metris MS500,,燃油车,,燃油,,internal_90d,0.88
mg3,名爵,MG 3,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
mg4,名爵,MG4,轿车,新能源,轿车,新能源,,dcd_ranking+internal_90d,0.96
mg4ev,名爵,MG4 EV,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
mg4x,名爵,MG 4X,SUV,新能源,SUV,新能源,,dcd_ranking,0.96
mg5,名爵,MG5,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
mg5天蝎座,名爵,MG5天蝎座,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
mg6,名爵,MG6,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
mg6phev,名爵,MG6 PHEV,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
mg7,名爵,MG7,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
mgcyberster,名爵,MG Cyberster,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
mges5,名爵,MG ES5,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
mghs,名爵,MG HS,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
mghsphev,名爵,MG HS PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
mgone,名爵,MG ONE,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
mgzs,名爵,MG ZS,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
mg领航,名爵,MG领航,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
mg领航phev,名爵,MG领航PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
mini,MINI,MINI,轿车,燃油车,轿车,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
minibeachcomber,MINI,MINI BEACHCOMBER,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
miniclubman,MINI,MINI CLUBMAN,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
minicooperev进口,MINI,MINI COOPER EV(进口),轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
minicountryman,MINI,MINI COUNTRYMAN,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
minicountrymanelectric,MINI,MINI COUNTRYMAN ELECTRIC,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
minicoupe,MINI,MINI COUPE,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
minijcw,MINI,MINI JCW,轿车,燃油车,轿车,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
minijcwclubman,MINI,MINI JCW CLUBMAN,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
minijcwcountryman,MINI,MINI JCW COUNTRYMAN,轿车,燃油车,轿车,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
minimo,西雅特,Minimo,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
minipaceman,MINI,MINI PACEMAN,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
miniroadster,MINI,MINI ROADSTER,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
mirai,丰田,Mirai,轿车,燃油车,轿车,燃油,,dcd_ranking,0.96
