rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,DeepSeek-V3-0324,0.826,0.8810679611650486,0.8563333333333333,0.9072961323866935,1000,824,176,176,176
2,2,claude-4.5-sonnet-thinking-off,0.639,0.7172330097087378,0.6603333333333332,0.735420769284335,1000,824,176,176,176
3,3,claude-4.5-sonnet-thinking-on-10k,0.634,0.7038834951456311,0.6645000000000001,0.7289592380163429,1000,824,176,176,176
4,4,gpt-4.1,0.63,0.6771844660194175,0.6491666666666667,0.6952077612746607,1000,824,176,176,176
5,5,DeepSeek-R1-0528,0.625,0.6699029126213593,0.6475,0.6872468919441496,1000,824,176,176,176
6,6,gpt-4o-20240806,0.618,0.6504854368932039,0.6681666666666667,0.6998172121404772,1000,824,176,176,176
7,7,Kimi-K2-Instruct,0.601,0.6480582524271845,0.6371666666666667,0.6777198586662637,1000,824,176,176,176
8,9,claude-4-sonnet-thinking-off,0.562,0.6286407766990292,0.5818333333333333,0.6459711015173489,1000,824,176,176,176
9,8,claude-4-sonnet-thinking-on-10k,0.561,0.633495145631068,0.5896666666666667,0.6564564842079197,1000,824,176,176,176
10,12,Qwen3-235B-A22B-Instruct-2507-FP8,0.542,0.5703883495145631,0.5843333333333334,0.6049310077925403,1000,824,176,176,176
11,10,claude-4-opus-thinking-off,0.534,0.6128640776699029,0.5553333333333332,0.6312491985409079,1000,824,176,176,176
12,11,claude-4-opus-thinking-on-10k,0.532,0.6128640776699029,0.5518333333333333,0.6277898352009463,1000,824,176,176,176
13,13,gpt-4.1-mini,0.5,0.5339805825242718,0.5191666666666667,0.5524201706608679,1000,824,176,176,176
14,14,Kimi-K2-Instruct-0905,0.48,0.5303398058252428,0.4991666666666667,0.546497420581048,1000,824,176,176,176
15,15,Qwen3-235B-A22B-Thinking-2507-FP8,0.476,0.5133495145631068,0.503,0.5364403556903043,1000,824,176,176,176
16,16,gpt-5,0.421,0.4878640776699029,0.44299999999999995,0.5109508560837341,1000,824,176,176,176
17,17,gemini-2.5-pro-thinking-on,0.416,0.46359223300970875,0.43966666666666665,0.4849314352373894,1000,824,176,176,176
18,18,gemini-2.5-flash-thinking-on,0.415,0.46237864077669905,0.44666666666666666,0.49754955701261405,1000,824,176,176,176
19,20,gemini-2.5-flash-thinking-off,0.407,0.44660194174757284,0.43266666666666664,0.47311522408043666,1000,824,176,176,176
20,19,o3-high,0.396,0.4550970873786408,0.41133333333333333,0.4688073425793868,1000,824,176,176,176
21,21,DeepSeek-V3.2-Exp-thinking-off,0.379,0.42961165048543687,0.39283333333333337,0.44337378205811284,1000,824,176,176,176
22,23,gpt-4o-mini,0.367,0.3919902912621359,0.41100000000000003,0.4316090047578826,1000,824,176,176,176
23,22,DeepSeek-V3.2-Exp-thinking-on,0.366,0.41262135922330095,0.38716666666666666,0.4355454708003995,1000,824,176,176,176
24,24,Qwen3-235B-A22B-FP8,0.306,0.3300970873786408,0.33799999999999997,0.36079721675206533,1000,824,176,176,176
25,25,Qwen3-Coder-480B-A35B-Instruct-FP8,0.205,0.22330097087378642,0.1975,0.21355201853304542,1000,824,176,176,176
26,26,gpt-oss-120b,0.193,0.2196601941747573,0.209,0.23516679078621555,1000,824,176,176,176
27,27,gpt-5-nano,0.191,0.21723300970873785,0.20549999999999996,0.23172354191638575,1000,824,176,176,176
28,28,gpt-4.1-nano,0.058,0.05461165048543689,0.06233333333333333,0.058767064431190306,1000,824,176,176,176
29,29,gpt-oss-20b,0.015,0.01699029126213592,0.016666666666666666,0.017991946377144023,1000,824,176,176,176
