rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,claude-4-opus-thinking-off,0.5706618962432916,0.5912408759124088,0.5463105846450266,0.565042985163534,1118,959,159,159,159
2,2,claude-4-sonnet-thinking-off,0.5152057245080501,0.5651720542231491,0.5045616707586438,0.5442949549977365,1118,959,159,159,159
3,3,gpt-4o-20240806,0.5080500894454383,0.5401459854014599,0.5557597103885757,0.5832579149780797,1118,959,159,159,159
4,8,claude-4.5-sonnet-thinking-off,0.4740608228980322,0.4880083420229406,0.48390105842002074,0.49956244353377005,1118,959,159,159,159
5,4,gpt-4o-mini,0.4731663685152057,0.5036496350364964,0.5264166441296452,0.5481099583786829,1118,959,159,159,159
6,11,Qwen3-Coder-480B-A35B-Instruct-FP8,0.47048300536672627,0.47340980187695514,0.44550912681991683,0.45200967435859274,1118,959,159,159,159
7,9,Qwen3-235B-A22B-Instruct-2507-FP8,0.46958855098389984,0.4796663190823775,0.4586983842543467,0.47191607589970674,1118,959,159,159,159
8,5,Kimi-K2-Instruct,0.46332737030411447,0.4932221063607925,0.4871414166916187,0.5167918267362556,1118,959,159,159,159
9,10,gpt-4.1,0.44633273703041143,0.4765380604796663,0.47555838588372,0.5066175848643393,1118,959,159,159,159
10,13,gpt-4.1-mini,0.4445438282647585,0.45255474452554745,0.4777639529884558,0.49662607927288854,1118,959,159,159,159
11,7,Qwen3-235B-A22B-FP8,0.44364937388193204,0.49009384775808135,0.363268905482185,0.40693348902417037,1118,959,159,159,159
12,16,gpt-5,0.4418604651162791,0.4369134515119917,0.4911188505664756,0.488779214772873,1118,959,159,159,159
13,14,Kimi-K2-Instruct-0905,0.43559928443649376,0.4494264859228363,0.44692166735509403,0.4686462166146293,1118,959,159,159,159
14,6,Qwen3-235B-A22B-Thinking-2507-FP8,0.4338103756708408,0.4932221063607925,0.38726609181769367,0.43001625659644704,1118,959,159,159,159
15,17,gpt-4.1-nano,0.43112701252236135,0.4369134515119917,0.42845968996852407,0.4349118389338084,1118,959,159,159,159
16,12,o3-high,0.4221824686940966,0.4619395203336809,0.4324407354918906,0.4700720867746128,1118,959,159,159,159
17,15,DeepSeek-V3-0324,0.40429338103756707,0.44525547445255476,0.40182402273991824,0.44001664390455625,1118,959,159,159,159
18,18,DeepSeek-V3.2-Exp-thinking-on,0.3694096601073345,0.3722627737226277,0.38406659838859253,0.3872068799452416,1118,959,159,159,159
19,19,gpt-oss-120b,0.3613595706618962,0.36496350364963503,0.3843523200631865,0.39444290472181665,1118,959,159,159,159
20,21,DeepSeek-V3.2-Exp-thinking-off,0.3300536672629696,0.34515119916579773,0.34392694637693894,0.3574943636614004,1118,959,159,159,159
21,20,DeepSeek-R1-0528,0.3291592128801431,0.3587069864442127,0.2987401984005579,0.3201183066005223,1118,959,159,159,159
22,23,gpt-5-nano,0.2898032200357782,0.278415015641293,0.3153200627066467,0.31146283324865315,1118,959,159,159,159
23,22,o4-mini-high,0.2558139534883721,0.28258602711157454,0.28860017151654727,0.3134041429610538,1118,959,159,159,159
24,24,gemini-2.5-flash-thinking-on,0.24329159212880144,0.251303441084463,0.3346050462786604,0.34144764430887375,1118,959,159,159,159
25,25,gpt-oss-20b,0.240608228980322,0.23983315954118875,0.25585160200109125,0.26337463926143323,1118,959,159,159,159
26,26,gemini-2.5-flash-thinking-off,0.21288014311270126,0.2210636079249218,0.2645506995551058,0.27392706641692927,1118,959,159,159,159
