rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,claude-4.5-sonnet-thinking-on-10k,0.86487958464502,0.86487958464502,0.8648795846450167,0.8648795846450167,1920,1920,0,0,0
2,2,o3-high,0.8641421794602274,0.8641421794602274,0.864142179460226,0.864142179460226,1920,1920,0,0,0
3,3,claude-4-sonnet-thinking-on-10k,0.8544207670389022,0.8544207670389022,0.8544207670388979,0.8544207670388979,1920,1920,0,0,0
4,4,gpt-5,0.8509231034568462,0.8509231034568462,0.8509231034568443,0.8509231034568443,1920,1920,0,0,0
5,5,claude-4-opus-thinking-off,0.8333014384369858,0.8333014384369858,0.8333014384369842,0.8333014384369842,1920,1920,0,0,0
6,6,claude-4-opus-thinking-on-10k,0.8306115047035852,0.8306115047035852,0.8306115047035815,0.8306115047035815,1920,1920,0,0,0
7,7,claude-4-sonnet-thinking-off,0.8245089616808632,0.8245089616808632,0.8245089616808604,0.8245089616808604,1920,1920,0,0,0
8,8,gemini-2.5-pro-thinking-on,0.8235575109106398,0.8235575109106398,0.8235575109106374,0.8235575109106374,1920,1920,0,0,0
9,9,Kimi-K2-Instruct-0905,0.8231884818640275,0.8231884818640275,0.8231884818640273,0.8231884818640273,1920,1920,0,0,0
10,10,claude-4.5-sonnet-thinking-off,0.8229181638599137,0.8229181638599137,0.8229181638599119,0.8229181638599119,1920,1920,0,0,0
11,11,Qwen3-235B-A22B-Thinking-2507-FP8,0.8208930130877168,0.8208930130877168,0.8208930130877148,0.8208930130877148,1920,1920,0,0,0
12,12,Kimi-K2-Instruct,0.8202776758082172,0.8202776758082172,0.8202776758082176,0.8202776758082176,1920,1920,0,0,0
13,13,DeepSeek-V3.2-Exp-thinking-on,0.8127607150359529,0.8127607150359529,0.81276071503595,0.81276071503595,1920,1920,0,0,0
14,14,DeepSeek-R1-0528,0.8105475194428747,0.8105475194428747,0.8105475194428737,0.8105475194428737,1920,1920,0,0,0
15,15,gpt-4.1,0.8096611708773049,0.8096611708773049,0.809661170877304,0.809661170877304,1920,1920,0,0,0
16,16,o4-mini-high,0.8053839055830166,0.8053839055830166,0.8053839055830149,0.8053839055830149,1920,1920,0,0,0
17,17,gpt-oss-120b,0.7907268196558553,0.7907268196558553,0.7907268196558532,0.7907268196558532,1920,1920,0,0,0
18,18,gemini-2.5-flash-thinking-off,0.7868133954859349,0.7868133954859349,0.786813395485935,0.786813395485935,1920,1920,0,0,0
19,19,Qwen3-235B-A22B-Instruct-2507-FP8,0.7816987954714846,0.7816987954714846,0.7816987954714841,0.7816987954714841,1920,1920,0,0,0
20,20,DeepSeek-V3.2-Exp-thinking-off,0.7703716930542686,0.7703716930542686,0.7703716930542708,0.7703716930542708,1920,1920,0,0,0
21,21,gpt-4.1-mini,0.7696798962757168,0.7696798962757168,0.7696798962757164,0.7696798962757164,1920,1920,0,0,0
22,22,DeepSeek-V3-0324,0.7688391291338934,0.7688391291338934,0.7688391291338948,0.7688391291338948,1920,1920,0,0,0
23,23,gpt-4o-20240806,0.7678084753774505,0.7678084753774505,0.7678084753774516,0.7678084753774516,1920,1920,0,0,0
24,24,Qwen3-235B-A22B-FP8,0.7615895028889983,0.7615895028889983,0.7615895028889961,0.7615895028889961,1920,1920,0,0,0
25,25,Qwen3-Coder-480B-A35B-Instruct-FP8,0.7521112587380365,0.7521112587380365,0.7521112587380366,0.7521112587380366,1920,1920,0,0,0
26,26,gpt-oss-20b,0.7520946969092154,0.7520946969092154,0.7520946969092167,0.7520946969092167,1920,1920,0,0,0
27,27,gemini-2.5-flash-thinking-on,0.7279827149305145,0.7279827149305145,0.7279827149305139,0.7279827149305139,1920,1920,0,0,0
28,28,gpt-5-nano,0.7268298613957115,0.7268298613957115,0.7268298613957099,0.7268298613957099,1920,1920,0,0,0
29,29,gpt-4o-mini,0.7004299891694031,0.7004299891694031,0.7004299891694057,0.7004299891694057,1920,1920,0,0,0
30,30,gpt-4.1-nano,0.6152680330694332,0.6152680330694332,0.6152680330694354,0.6152680330694354,1920,1920,0,0,0
