model,n_benchmarks,missing,tau-bench_original,tau2-bench_original,ACEBench_original,complex-func-bench_original,NexusBench_original,BFCL_original,BFCL_V4_original,DrafterBench_original
DeepSeek-R1-0528,7,BFCL,0.6060606060606061,0.5071942446043165,0.7810361681329423,0.625,0.3291592128801431,,0.8195488721804511,0.8105475194428747
claude-4-opus-thinking-off,7,BFCL,0.6666666666666666,0.6491228070175439,0.8064516129032258,0.534,0.5706618962432916,,0.7669172932330827,0.8333014384369858
claude-4-opus-thinking-on-10k,6,NexusBench;BFCL,0.696969696969697,0.6294964028776978,0.7878787878787878,0.532,,,0.7022556390977444,0.8306115047035852
claude-4-sonnet-thinking-off,7,BFCL,0.5878787878787879,0.564748201438849,0.8035190615835777,0.562,0.5152057245080501,,0.7819548872180451,0.8245089616808632
claude-4-sonnet-thinking-on-10k,6,NexusBench;BFCL,0.6666666666666666,0.6258992805755396,0.7683284457478006,0.561,,,0.7819548872180451,0.8544207670389022
claude-4.5-sonnet-thinking-off,7,BFCL,0.703030303030303,0.6294964028776978,0.5581622678396871,0.639,0.4740608228980322,,0.762406015037594,0.8229181638599137
claude-4.5-sonnet-thinking-on-10k,6,NexusBench;BFCL,0.7151515151515152,0.6726618705035972,0.8015640273704789,0.634,,,0.7879699248120301,0.86487958464502
gemini-2.5-flash-thinking-on,7,BFCL,0.6260869565217392,0.39035087719298245,0.7820136852394917,0.415,0.24329159212880144,,0.8631578947368421,0.7279827149305145
gemini-2.5-pro-thinking-on,7,NexusBench,0.6260869565217392,0.4605263157894737,0.7927663734115347,0.416,,0.305,0.8932330827067669,0.8235575109106398
gpt-oss-120b,7,BFCL,0.30303030303030304,0.14473684210526316,0.793743890518084,0.193,0.3613595706618962,,0.7293233082706767,0.7907268196558553
gpt-oss-20b,7,BFCL,0.13333333333333333,0.08273381294964029,0.7624633431085044,0.015,0.240608228980322,,0.7172932330827068,0.7520946969092154
o4-mini-high,7,complex-func-bench,0.6363636363636364,0.5143884892086331,0.7233626588465298,,0.2558139534883721,0.4875,0.9022556390977443,0.8053839055830166
