excluded_brand,baseline_candidate_count,selected_candidate_count,selection_rate,profit_retention_rate,avg_profit_lift,days_to_sell_ratio,acquisition_conversion_lift,sales_conversion_lift,leader_all_pass
双龙,30245,18036,0.59633,1.076089,1.5325089315986025,0.8461164142801205,1.318630098844494,1.2845868134768754,True
合创汽车,30242,18036,0.596389,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
吉利几何,30215,18018,0.596326,1.076351,1.5333580069301909,0.8460670781446674,1.318463458666726,1.284389087312075,True
吉利汽车,29140,17038,0.584695,1.080211,1.5570175056155815,0.8395054424036956,1.333107386758401,1.2987654977715126,True
吉利银河,29865,17667,0.591562,1.077665,1.548156304079298,0.8449788980281641,1.318338807912692,1.2869818642954272,True
名爵,30043,17864,0.594614,1.079454,1.5398863956994089,0.8457540489669843,1.3197371148749728,1.287358626167871,True
君马汽车,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
启辰,30200,18036,0.597219,1.076132,1.5318970606602755,0.8461760838306748,1.3178228566658319,1.2837687101490785,True
哈弗,29513,17420,0.590248,1.079543,1.5490010957378393,0.8432108317353684,1.3257703002555963,1.2900002644333384,True
哪吒汽车,30164,17980,0.596075,1.077716,1.536206374749723,0.84576896631763,1.31829093994953,1.284553735988156,True
国机智骏,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
坦克,30020,18028,0.600533,1.068685,1.5141928987011746,0.8490684256656911,1.3145277697586106,1.280642736327758,True
埃安,30115,17912,0.594787,1.077128,1.537130693449037,0.8458609710508279,1.3198936715632732,1.2859584970169025,True
大众,27645,16480,0.596129,1.057817,1.4980691538876199,0.8463363278574921,1.3242773903593799,1.2819747527300602,True
大通,30218,18036,0.596863,1.077484,1.5336541142048061,0.8458458887085953,1.3180429155882107,1.2835655561667787,True
奇瑞,29933,17853,0.596432,1.077629,1.5325944115365773,0.8461115572132357,1.3211426786341853,1.2853376382859147,True
奇瑞QQ,30147,17941,0.595117,1.076483,1.5355587489202627,0.8459797927164467,1.3182610639248993,1.2850030408685174,True
奇瑞新能源,30243,18036,0.596369,1.076073,1.5324866265509804,0.8460806996427915,1.3184245252028084,1.2842623519388379,True
奇瑞风云,30187,18008,0.596548,1.076225,1.5302598686573274,0.8468346080517233,1.3189837409710794,1.2851273499662337,True
奔腾,30160,17974,0.595955,1.077711,1.535214476695443,0.8460062427121948,1.3189149396569033,1.285219731212868,True
奔驰,28610,17975,0.628277,1.061658,1.474229270834944,0.8527418506306087,1.2505868761308905,1.232142404616493,True
奥迪,29028,17484,0.602315,1.078068,1.522734228774758,0.8459725334924351,1.3155556998252533,1.2749402375786107,True
奥迪AUDI,30244,18036,0.59635,1.075944,1.5321343607580444,0.8462429624928539,1.3184538889414752,1.2842623519388379,True
威马汽车,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
威麟,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
宝沃,30237,18036,0.596488,1.076845,1.5332490948397186,0.8460820838748938,1.3187475982824588,1.2842381449633766,True
宝马,28463,17045,0.598848,1.07348,1.5260378811938102,0.8464413947047477,1.3126547177629273,1.276107091172214,True
宝骏,30112,17978,0.597038,1.078379,1.5346685755413458,0.8463531667950919,1.3191059519491029,1.2857558644985219,True
宾利,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2841461667784957,True
尊界,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.318299743903797,1.2842623519388379,True
小米汽车,30097,17897,0.594644,1.077436,1.5381272305672438,0.8466282297806215,1.320675410858237,1.286928370606547,True
小鹏汽车,29932,17723,0.592109,1.078698,1.5475397146793135,0.8450305399698899,1.320416962593042,1.2883045995631806,True
尚界,30232,18036,0.596586,1.076053,1.532458746535301,0.8461014912858758,1.318931233081199,1.2841219641827277,True
岚图,30151,17982,0.596398,1.077488,1.531736958789386,0.8471773563250562,1.3187614249409247,1.2857051165881357,True
广汽传祺,29847,17918,0.600328,1.073396,1.5187175084340063,0.8473990452941834,1.3161393881495633,1.2841009451866883,True
广汽吉奥,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2841461667784957,True
广汽昊铂,30230,18029,0.596394,1.076384,1.5329757441879717,0.846136353448493,1.31831164709616,1.284405122270265,True
广汽集团,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.3184245252028084,1.2842623519388379,True
开瑞,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
思皓,30241,18036,0.596409,1.075861,1.5323538328734148,0.8461573375478293,1.3184612300805132,1.2841461667784957,True
思铭,30241,18036,0.596409,1.076053,1.532458746535301,0.8461374845616105,1.318630098844494,1.2844705696047418,True
捷尼赛思,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2842623519388379,True
捷豹,30074,18018,0.599122,1.074849,1.525663156889809,0.8472018321205177,1.3171679762440986,1.2796807424315233,True
捷达,30199,18005,0.596212,1.076177,1.5333249133142406,0.8454609616270463,1.3183342618384402,1.2845200736870261,True
捷途,30165,17975,0.595889,1.076887,1.5347629408131238,0.845459507972301,1.3196505284976403,1.2842997784980887,True
捷途山海,30227,18036,0.596685,1.076974,1.5330964841855825,0.8460491957447808,1.3180355791067373,1.2836816362827923,True
斯巴鲁,30204,18014,0.596411,1.077075,1.5338116586590447,0.8455061261344828,1.3192260579064587,1.2845387483084487,True
斯柯达,30072,17909,0.595537,1.077314,1.5353169880050235,0.8461270631209141,1.3193413393582565,1.284345156503121,True
新龙马汽车,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
方程豹,30177,17967,0.595387,1.076299,1.535130082575967,0.8454673923916415,1.318711591438864,1.2854226569162381,True
日产,29482,17645,0.598501,1.077529,1.5273000241253274,0.8456805507970002,1.3221850058588136,1.2829102162542898,True
星途,30134,17942,0.595407,1.077799,1.537477921470219,0.8448571475858033,1.3193001243801905,1.285685080864983,True
智己汽车,30174,17979,0.595844,1.077009,1.5357068638918718,0.8452421420763541,1.3189573010662192,1.2860050448599825,True
智界,30226,18026,0.596374,1.076766,1.5335904935942575,0.8463285282353523,1.3191665924077705,1.2841313243696844,True
朋克汽车,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
本田,28898,17562,0.607724,1.061988,1.4913569633248185,0.8523128100152859,1.3105780956912156,1.266171386539169,True
